machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5.5,0.2166,14324000000.0,33896000000.0,10860000000.0,104742000000.0,262000000.0,204000000.0,0.0,0.0,5694009.0,19941754149.0,10463359718.0,105104.0,2266269.0,442000000.0,12.239876,,,,0.756124
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5.5,0.6833,39909000000.0,62919607143.0,21622714286.0,169555000000.0,123642857.1,46071428.57,16642857.14,12035714.29,23804.69643,366750122.9,11298050000.0,108902.7321,2109920.536,2360250000.0,15.36056771,,,,25.63743229
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5.5 -pa,0.2166,14324000000.0,33896000000.0,10860000000.0,104742000000.0,262000000.0,204000000.0,0.0,0.0,5693743.0,19941070234.0,10406889017.0,105104.0,2266270.0,444000000.0,12.368848,,,,0.627152
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 5.5 -pa,0.7166,40181607143.0,63362678571.0,21758928571.0,170711000000.0,123178571.4,45285714.29,16678571.43,12071428.57,26268.08929,366749157.9,11114521994.0,108902.7321,2109920.536,2379607143.0,15.36930693,,,,27.62669307
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3,0.8833,43946000000.0,146054000000.0,48612000000.0,431178000000.0,1176000000.0,1078000000.0,14000000.0,28000000.0,7003484.0,95302695137.0,49618616516.0,105104.0,2275702.0,2166000000.0,48.127371,,,,4.870629
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3,0.9,51268107143.0,82039500000.0,28200321429.0,221741000000.0,201000000.0,84464285.71,29250000.0,24142857.14,24299.19643,1718978158.0,15599698824.0,108901.75,2110088.429,2183928571.0,20.71985546,,,,33.28014454
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3 -pa,0.8833,43936000000.0,146042000000.0,48608000000.0,431162000000.0,1180000000.0,1078000000.0,18000000.0,30000000.0,6998460.0,95306271654.0,49584732518.0,105104.0,2275702.0,2218000000.0,48.081901,,,,4.916099
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3 -pa,0.8666,51271071429.0,82012035714.0,28201107143.0,221720000000.0,201000000.0,84607142.86,29285714.29,24250000.0,24006.42857,1718961238.0,15594215440.0,108901.75,2110088.429,2178750000.0,20.70415902,,,,31.29184098
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.1,0.9166,45200000000.0,150154000000.0,49982000000.0,443240000000.0,1340000000.0,1108000000.0,16000000.0,28000000.0,7190552.0,97874056462.0,50855595690.0,105104.0,2277718.0,2222000000.0,48.932831,,,,6.063169
ruby,laghos,-p 1 -dim 2 -rs 3 -tf 3.1 -pa,0.9166,45210000000.0,150156000000.0,49984000000.0,443242000000.0,1336000000.0,1106000000.0,18000000.0,28000000.0,7189135.0,97875363712.0,50981650755.0,105104.0,2277717.0,2228000000.0,49.102521,,,,5.893479
