machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,1,5.3729E+11,2.64663E+12,9.29314E+11,7.37041E+12,39752000000,26498000000,3776000000,3900000000,0,909924798,2.75385E+12,1.26961E+12,37771,2244601,2.11366E+11,24.4333
quartz,laghos,32,1.76875E+11,3.21387E+11,1.17526E+11,9.05587E+11,1701875000,1635812500,261812500,175937500,0,26631743.63,86247765019,86304665403,69875.875,2108494.688,16730125000,3.8
quartz,laghos,1,5.36316E+11,2.64596E+12,9.28862E+11,7.36937E+12,39754000000,26522000000,3680000000,3552000000,0,909344312,2.75385E+12,1.26886E+12,37771,2244600,2.16164E+11,23.8666
quartz,laghos,32,1.73419E+11,3.1626E+11,1.15833E+11,8.91518E+11,1703875000,1631125000,264562500,178687500,0,26631877.59,86247681838,85817275676,69875.875,2108494.688,16706375000,3.7833
quartz,laghos,1,5.80464E+11,2.86244E+12,1.0048E+12,7.96945E+12,42988000000,28638000000,3726000000,4100000000,0,954590079,2.97809E+12,1.37094E+12,37771,2250458,2.33938E+11,26.1
quartz,laghos,32,1.90472E+11,3.46367E+11,1.26696E+11,9.75981E+11,1843812500,1769625000,280312500,187187500,0,27938015.97,93270366939,94296229398,69874.90625,2108677.75,17962562500,4.0666
quartz,laghos,1,5.80776E+11,2.86261E+12,1.00494E+12,7.96971E+12,42956000000,28624000000,3974000000,4052000000,0,954452993,2.97809E+12,1.3696E+12,37771,2250458,2.34966E+11,26.3833
quartz,laghos,32,1.93668E+11,3.51058E+11,1.28279E+11,9.89012E+11,1848812500,1771750000,280250000,189937500,0,27937993.16,93270654058,93194190810,69875.875,2108677.781,18146625000,4.1333
quartz,laghos,1,6.36374E+11,3.13585E+12,1.10091E+12,8.72763E+12,47078000000,31442000000,4348000000,4064000000,0,1000674127,3.26121E+12,1.49837E+12,37771,2258111,2.56346E+11,28.7666
quartz,laghos,32,2.05446E+11,3.74729E+11,1.37232E+11,1.0561E+12,2020500000,1937437500,308937500,206625000,0,29274896.16,1.02139E+11,1.03672E+11,69874.90625,2108916.906,19668875000,4.3833
quartz,laghos,1,6.3571E+11,3.13532E+12,1.1006E+12,8.72687E+12,46828000000,31420000000,4116000000,4368000000,0,1000579724,3.26121E+12,1.49801E+12,37771,2258112,2.55702E+11,28.8166
quartz,laghos,32,2.08088E+11,3.78601E+11,1.38529E+11,1.06684E+12,2018687500,1939187500,307562500,206750000,0,29274545.94,1.02138E+11,1.02314E+11,69874.90625,2108916.906,19708000000,4.45
quartz,laghos,1,7.41024E+11,3.65661E+12,1.28401E+12,1.01752E+13,54730000000,36628000000,4946000000,4740000000,0,1107051892,3.8026E+12,1.74694E+12,37771,2273181,2.99586E+11,33.5333
quartz,laghos,32,2.40894E+11,4.38971E+11,1.60638E+11,1.23679E+12,2345437500,2251437500,357937500,241062500,0,32357040.34,1.19091E+11,1.18732E+11,69875.875,2109387.844,23036875000,5.1666
quartz,laghos,1,7.406E+11,3.65627E+12,1.28382E+12,1.01747E+13,54558000000,36592000000,5136000000,4920000000,0,1106701299,3.8026E+12,1.74691E+12,37771,2273181,2.98706E+11,33.7
quartz,laghos,32,2.5107E+11,4.54044E+11,1.65658E+11,1.27828E+12,2349687500,2256250000,353750000,240687500,0,32356767.81,1.19095E+11,1.18262E+11,69875.875,2109387.844,23108875000,5.3166
quartz,laghos,32,7.10254E+11,1.96412E+12,7.08395E+11,5.55646E+12,16942750000,14521812500,2301687500,1847812500,0,466550980.1,1.37902E+12,7.83203E+11,69843.875,2110557.094,1.28534E+11,22.8166
quartz,laghos,32,7.14307E+11,1.96551E+12,7.08783E+11,5.56059E+12,16913625000,14492187500,2298375000,1859250000,0,463103349.8,1.36669E+12,7.78858E+11,69842.90625,2110532.281,1.28317E+11,22.75
quartz,laghos,32,8.18389E+11,2.26146E+12,8.15545E+11,6.3958E+12,19542625000,16738125000,2640687500,2148125000,0,512289247.3,1.58102E+12,8.9648E+11,69842.90625,2111192.563,1.47462E+11,26.1
quartz,laghos,32,8.30961E+11,2.28249E+12,8.23E+11,6.45571E+12,19608937500,16804750000,2665687500,2153125000,0,513717136.1,1.58647E+12,8.99831E+11,69875.875,2111193.594,1.47448E+11,26.3833
quartz,laghos,32,9.20124E+11,2.53141E+12,9.12965E+11,7.15924E+12,21585562500,18520750000,2959500000,2362062500,0,546448573.2,1.75364E+12,9.94776E+11,69875.875,2111736.781,1.63301E+11,29.2166
quartz,laghos,32,9.09102E+11,2.50688E+12,9.03922E+11,7.08817E+12,21623000000,18524312500,2942562500,2378500000,0,544893346.7,1.7486E+12,9.87468E+11,69875.875,2111736.781,1.63613E+11,28.9166
quartz,laghos,32,9.78299E+11,2.69355E+12,9.7128E+11,7.61617E+12,23172312500,19858875000,3153250000,2538812500,0,574710377.2,1.87495E+12,1.06078E+12,69875.875,2112113,1.75778E+11,31.0666
quartz,laghos,32,9.93737E+11,2.7226E+12,9.81653E+11,7.69865E+12,23181375000,19859875000,3155125000,2527312500,0,576125236.8,1.88024E+12,1.06648E+12,69843.875,2112112,1.74817E+11,31.4666
quartz,laghos,32,1.08376E+12,2.98087E+12,1.07522E+12,8.43019E+12,25611062500,21939375000,3450687500,2825312500,0,624290321.8,2.07733E+12,1.18416E+12,69874.90625,2112773.063,1.94647E+11,34.35
quartz,laghos,32,1.10606E+12,3.01255E+12,1.0861E+12,8.51947E+12,25618062500,21950500000,3473187500,2817687500,0,624289930.1,2.07733E+12,1.1774E+12,69843.875,2112766.375,1.93647E+11,34.85
quartz,laghos,32,1.50755E+12,4.13349E+12,1.49105E+12,1.1692E+13,35462625000,30419312500,4819500000,3916250000,0,821297390.7,2.87121E+12,1.63123E+12,69875.875,2115255.031,2.69603E+11,47.5666
quartz,laghos,32,1.50519E+12,4.116E+12,1.48502E+12,1.16444E+13,35273312500,30238187500,4792625000,3848562500,0,820997930,2.87055E+12,1.63111E+12,69875.875,2115213.094,2.69001E+11,47.4333
quartz,laghos,1,1756000000,2510000000,734000000,8498000000,18000000,8000000,0,0,0,1118229,1118039287,809434728,37771,2188654,98000000,0.05
quartz,laghos,1,1754000000,2512000000,736000000,8502000000,24000000,8000000,0,0,0,1117884,1116848268,806487653,37771,2188656,100000000,0.05
quartz,laghos,1,2042000000,2918000000,856000000,9888000000,30000000,10000000,0,0,0,1298632,1299900069,939595815,37771,2191342,122000000,0.0666
quartz,laghos,1,2042000000,2920000000,856000000,9890000000,22000000,10000000,0,0,0,1299480,1300076279,938308742,37771,2191342,120000000,0.0666
quartz,laghos,1,2200000000,3148000000,922000000,10662000000,30000000,10000000,0,0,0,1400032,1401966766,1012713190,37771,2192865,122000000,0.0666
quartz,laghos,1,2202000000,3150000000,922000000,10660000000,34000000,12000000,2000000,0,0,1400057,1400545188,1015182301,37771,2192864,130000000,0.0666
quartz,laghos,1,2380000000,3412000000,996000000,11550000000,30000000,12000000,2000000,0,0,1517696,1516191867,1097863627,37771,2194669,132000000,0.05
